Name,Address,Latitude,Longitude,Type,Editor,Owner/Publisher,Contributors,Printer,Dates,Archives,Notes,OCLC NO,Libraries
Church of the Transfiguration,25 Mott St. ,40.71463,-73.99893,Church,,,Félix Varela,,1827 -,,Varela founded this as the Church of the Immigrant in 1827 in what was then the Five Points Neighborhood,,
El Cable,,,,Publication,Robert H. Todd,,,,18? - 1878,,,,
El Correo de Nueva York,40 and 42 Broadway,,,Publication,Lisandro Lamedia Díaz,,,,18?? - ?,NYPL Moses Taylor Papers has two issues from 1874: May 7 and June 18,,,
El Horizonte,,,,Publication,Miguel T. Tolón,Miguel T. Tolón,,,18?? - ?,,"""Aimed at Spanish- and English-language readers in New York"" (72).",,
Museo de las Familias,,,,Publication,Nestor Ponce de León,Francisco Sellén,,,1872-1873,"No existing issues, according to the Recovery index","López Mesa says Ponce de León was editor from 1872-1873 (33).

Velleman, Barry L. “The Cuban Emigrado and the Cultural Unity of the Americas: The Work of Néstor Ponce de León (1837-1899).” Revista Interamericana de Bibliografia/Inter-American Review of Bibliography, n.d.
",,
El Amigo de los Niños,,,,Publication,A. Sellén,,,,18?? - 18??,,,,
Gaceta del Pueblo,301 3rd Avenue,40.738923,-73.982782,Publication,,,,,18?? - 18??,*no existing copies according to Recovery index,"Recovery index says it's mentioned in El Americano. Also mentioned in directory of Spanish-language businesses in Patria, starting in 1892. ",,
El Habanero,,,,Publication,Félix Varela,,,,1824 - 1826,First 7 issues (printed in Philadelphia) collected in a 1997 book by Ediciones Universal; Columbia has a copy; Yale and Princeton have original copies ,Printed in Imprenta Gray y Bunce according to Recovery Index,,
St. Peter's Church,corner of Barclay and Church Streets,,,Church,,,,,,,"Félix Varela was first assigned there when he moved to New York from Philadelphia in 1826 (Lisandro Pérez, Sugar, Cigars, and Revolution, 43)",,
Felix Varela's residence ,140 Fulton Street,,,Residence,1826-1829,,,,,,,,
Christ Church,33 Ann St. ,,,Church,1827-1833,,,,,,"Former Episcopalian Church for which Varela was able to raise funds to purchase it  in 1827; he later purchased 45 Ann Street as a day school and also lived there from 1829 - 1834 (Lisandro Pérez, Sugar, Cigars, and Revolution, 43). In 1833 the structure of Christ Church became compromised, and services were held at 45 Ann St. and a rented space on 208 William St (46).",,
Felix Varela's residence ,23 Reade St. ,,,Residence,1835-1849,,,,,,"Delmonico bid on new Church for Varela, led to his living at 23 Reade St., where he would live for the rest of his time in NYC (Lisandro Pérez, Sugar, Cigars, and Revolution, 47)",,
William Newell Printing House,162 Nassau St. ,,,Printer,,,,,,,"Produced the first volume of Varela's Cartas al Elpido in 1835 ( (Lisandro Pérez, Sugar, Cigars, and Revolution, 48)",,
G.P. Scott and Company,Corner of John and Gold Streets,,,Printer/Publishing House,,,,,,,"Produced the second volume of Varela's Cartas al Elpido in 1835 ( (Lisandro Pérez, Sugar, Cigars, and Revolution, 48) - third one never written",,
Boarding house where Heredia stayed when he first arrived in NYC,44 Broadway,,,Residence,1823-1823?,,,,,,"1823 José Maria Heredia also arrived in NYC (Lisandro Pérez, Sugar, Cigars, and Revolution, 54",,
Boarding house where Heredia stayed  in NYC,88 Maiden Laine,,,,1824?-1825,,,,,,"1824 José Maria Heredia also arrived in NYC (Lisandro Pérez, Sugar, Cigars, and Revolution, 55)",,
Behr and Kahl booksellers and publishers,129 Broadway,,,Publishing House/Bookstore,,,,,,,"Published Heredia's Poesías including ""Niagara"" (Lisandro Pérez, Sugar, Cigars, and Revolution, 56)",,
Gray and Bunce Printers,347 Pearl St. ,,,,,,,,,,"Printed Heredia's Poesías including ""Niagara"" and also issues 5 and 6 of El Habanero (Lisandro Pérez, Sugar, Cigars, and Revolution, 56)",,
El Redactor,30 Mercer St. ,40.72091,-74.00162,Publication,Antonio Pastor,,,,1826 - 1831,Issues including in Readex Hispanic American Newspapers; section on last page of some publications dedicated to editors,Address is on the back page of newspaper; with the name Imprenta de la sociedad,,
El Mensagero Semanal de Nueva York,,,,Publication,Félix Varela and José Antonio Saco,,,,1828 - 1831,,"Saco and Varela ""edited what was arguably the first serial publication edited by Cubans in New York and in the United States, El Mensajero Semanal"" (Lisandro Pérez, Sugar, Cigars, and Revolution, 52). See also p. 63 on the Saco-de la Sagra controversy that led to banning the importation of El Mensajero into Cuba",,
Noticioso de Ambos Mundos,,,,Publication,,,"Miriam Florence Follin, later wife of Frank Leslie worked here from 1859-1860",,1836 - 1859,,,,
Moses Taylor Counting House,44 South St.,,,Financial Instituion,,,,,1832-??,NYPL Rare Books and Manuscripts has their papers,"From Lisandro Pérez's Sugar, Cigars, and Revolution: """"Of all the New York counting houses, the one that had the most profound and sustained influence on the Cuba Trade was Moses Taylor and Company. Established in 1832 and located at 44 South Street, Taylor's counting house conducted business with Cuba for more than fifty years"" (30).",,
Catholic Expositor,,,,Publication,,,,,1844 - ?,,,,
Scientific American. Export Edition,,,,Publication,,,,,1845 - 1908,,,,
Revista de la Crónica: Miscelánea,,,,Publication,,,,,1848 - 1848,,,,
